1493,397,13571,897,83.6
6848,64,10433,800,82.4
1699,126,10134,268,50.9
2731,219,10972,74,48.7
2292,93,9872,738,37.1
2037,308,5840,151,33.4
11159,459,688,59,86.6
7644,256,2364,154,53.6
8948,388,12061,268,82.1
927,255,3258,452,87.6
3990,14,11130,593,33.1
1245,600,2936,570,43.7
2355,647,8793,882,38.8
11175,240,9472,700,92.1
4783,700,1582,314,26.1
1679,470,3251,1057,24.9
7992,494,6218,794,15.1
4516,98,8825,980,6.5
5932,489,4825,904,97.0
6257,297,3692,471,35.9
12015,410,1549,1036,83.4
9596,732,119,223,95.4
8992,326,5236,80,10.1
4529,213,2536,218,62.2
13135,312,10027,1053,10.9
2538,249,7254,364,85.4
8063,658,11739,448,20.2
3980,641,7893,1093,92.8
3424,355,9938,657,36.6
9529,509,5921,509,43.2
1069,703,1911,731,14.2
3826,663,12261,974,27.6
9346,486,9794,603,85.7
10068,649,11507,1013,40.5
7653,360,6142,700,37.4
5600,371,6335,947,54.6
8136,726,8299,812,26.9
5597,126,11188,350,66.5
8256,150,11603,948,13.4
3958,455,4527,120,92.3
11956,263,2145,331,96.2
4951,285,6041,613,95.8
7006,637,4363,349,70.4
8767,430,8777,37,69.9
67,35,4877,827,67.4
1156,534,11026,505,11.7
445,342,1930,749,30.8
8616,625,10904,47,97.0
7186,717,9086,950,2.0
13133,684,1851,885,38.9
4351,706,12547,1082,23.5
10614,295,13786,231,9.3
7089,718,10735,111,3.9
11084,80,9478,109,39.0
8410,479,3135,867,81.2
5205,559,10227,427,7.6
8033,43,13459,204,95.9
11323,745,7179,1066,37.0
1587,306,68,450,57.3
11049,175,6594,356,95.4
12162,730,349,594,64.8
10149,356,10813,586,55.7
11213,35,12215,597,94.4
13639,47,5055,745,46.2
5373,198,11094,907,32.0
5036,399,12680,152,1.7
4664,419,1712,382,75.9
2921,59,4458,111,59.1
12541,27,9190,394,30.6
7927,461,7339,66,2.1
1360,184,7602,360,91.4
2571,304,3195,211,47.9
2998,348,1661,676,39.3
6874,683,6149,78,45.0
9555,83,13341,95,54.5
437,210,5310,948,90.7
5019,423,8547,681,73.6
13805,725,3773,289,99.4
1334,567,2516,626,95.8
5437,287,5923,717,58.7
8833,207,1319,569,61.9
8738,224,893,165,7.0
4343,544,9379,556,62.8
12387,518,11157,893,86.0
12927,72,8883,987,28.0
13752,649,5714,861,51.0
4107,672,843,367,87.2
587,458,10764,165,69.8
4890,145,4901,775,85.8
6788,297,11159,90,67.4
8298,429,13463,687,86.9
9573,118,12519,132,54.6
5050,471,890,821,90.4
3215,460,1862,156,79.6
6304,628,663,466,64.6
146,206,9361,620,24.9
1822,109,7048,1085,41.9
13706,290,10613,606,96.9
10502,489,9140,245,79.6
2579,149,10092,847,15.1
9154,529,4824,777,94.8
4802,519,3984,931,5.0
12602,611,5891,619,19.2
5126,729,8454,508,77.4
11418,207,1179,83,60.0
10742,266,12603,113,16.2
57,225,6312,685,68.3
2732,69,13574,109,65.1
8268,428,10569,1035,37.4
11186,358,8311,415,67.6
8217,85,6254,1071,65.1
13783,464,4871,107,84.9
4692,568,7540,971,52.0
5035,516,7760,344,67.4
6118,602,12067,641,73.1
5677,283,12897,186,55.9
11462,573,2801,693,71.0
13104,710,559,984,4.1
4242,505,11916,940,48.1
11950,65,6485,870,71.0
5892,731,13867,325,72.5
1502,543,9924,427,58.7
10652,374,10326,103,45.6
10340,13,3545,821,81.7
7587,104,1259,951,93.6
9070,734,8067,1089,32.7
11081,457,2142,381,46.1
3441,11,11187,431,93.0
1967,274,13259,307,63.5
3407,121,11033,308,14.6
9247,411,8413,1032,61.8
10146,168,7500,1002,87.2
2029,116,1167,269,87.2
1630,518,12424,1060,27.9
4374,310,5618,634,75.9
11027,267,8731,728,23.9
1227,390,8009,122,80.1
8268,73,4135,279,73.1
12120,541,5131,62,27.2
4117,376,265,230,97.8
7611,337,10427,893,29.4
3974,635,11387,207,44.6
9075,390,5983,274,85.2
8209,726,7738,156,45.3
13851,128,13931,3,44.5
5726,456,3747,597,19.1
11333,256,9994,654,61.4
4801,720,8667,703,71.4
3996,515,7252,172,38.6
2205,171,11506,971,39.1
8281,200,4812,149,4.9
6804,550,12001,843,59.4
4271,69,582,698,75.2
1390,634,1731,266,43.6
7209,222,12338,198,34.3
831,740,5224,795,13.0
9243,415,4873,120,77.5
2403,469,9158,194,52.4
8083,152,894,805,74.2
7842,638,3524,147,34.3
94,310,6652,305,21.6
10811,234,5049,367,33.8
6843,341,12860,423,10.7
