9322,767,385,2257,14,3.7
1217,694,692,6075,8,2.5
1135,503,10,10412,12,5.8
4559,367,132,8235,12,2.7
2585,942,237,12320,12,3.0
856,301,10,233,10,2.3
5005,398,389,10669,12,3.4
4995,967,166,8434,9,4.7
2196,928,590,6660,13,3.1
6375,870,690,567,17,4.3
5455,592,415,5263,16,5.6
3414,173,264,8238,9,5.9
9395,599,632,6662,10,1.1
1057,996,579,6585,7,3.5
6903,893,370,4892,10,2.4
8905,410,214,3363,14,4.7
1175,268,271,8034,17,3.8
9668,294,369,11598,8,4.3
160,548,550,4699,11,2.4
4466,368,277,10680,9,2.5
8981,245,572,8455,13,3.5
1511,570,557,1725,11,5.6
377,324,84,7774,15,3.6
631,725,189,7869,9,1.5
6751,842,572,9709,12,3.0
6929,13,87,7408,11,2.0
5396,889,43,8289,9,3.8
5628,332,297,11047,11,1.8
8188,502,438,12652,9,2.2
6918,756,404,7427,16,2.2
2706,326,138,11623,15,2.3
8302,656,29,3937,16,4.8
7599,559,195,1800,12,5.7
9787,356,485,13106,11,4.7
1258,592,129,13190,14,3.7
8038,644,221,3581,14,3.3
892,898,94,11715,8,5.9
8349,736,550,1647,12,4.7
7988,127,154,10953,10,1.4
1550,715,696,6687,8,3.0
3717,352,440,7492,16,4.8
668,452,191,9986,13,2.1
5835,860,307,5849,15,4.1
2721,62,188,11915,15,5.8
4599,199,248,1725,13,1.2
6055,163,12,12825,12,3.6
941,377,100,10732,8,2.2
3079,858,587,1088,13,5.4
8238,62,304,13055,17,4.8
9394,431,271,1186,16,2.0
45,220,552,12460,12,3.8
2443,264,266,5308,13,4.1
3938,288,410,472,8,3.7
7578,543,641,4501,9,5.0
3396,886,615,11884,15,4.0
62,935,603,10855,16,4.9
9666,435,416,5800,13,3.9
8101,250,482,1556,10,4.3
7761,925,451,7131,9,3.8
4786,816,566,9393,9,5.0
8717,763,25,6633,11,4.8
6359,263,318,7097,16,4.8
7150,55,607,7709,8,2.4
4552,607,579,6512,10,5.5
9667,48,274,3149,8,1.3
9354,949,141,11908,15,2.3
6572,273,427,11006,14,5.5
8712,665,638,2697,7,5.7
5785,396,131,12862,7,1.4
4799,123,278,8160,8,3.6
3689,928,428,13697,12,3.2
2287,794,94,12373,11,1.6
8272,863,572,368,10,2.4
827,518,380,12274,10,4.5
9815,578,283,8542,17,5.3
2254,839,346,13740,12,2.2
6728,4,322,934,12,4.9
6805,628,48,10113,14,4.4
2434,579,662,3839,17,2.7
7955,377,669,8250,11,2.7
2081,218,89,1400,15,4.3
8563,280,514,12743,10,1.2
8850,464,175,10644,13,1.3
5529,574,692,4595,13,1.4
2845,344,150,9948,9,1.4
7716,341,654,4978,11,3.3
2016,716,218,3097,16,3.2
5556,297,174,6643,14,4.2
3505,164,241,10534,8,1.5
2200,489,18,2144,13,1.3
3235,445,103,772,14,3.2
7835,498,139,8781,10,4.9
6151,441,293,13014,7,2.1
7118,955,243,4013,15,4.8
6529,988,649,5354,17,1.7
7943,557,566,528,11,5.9
1018,712,450,12279,11,5.1
5750,844,323,3456,12,1.1
5062,733,153,1672,17,2.8
2177,344,63,6279,15,5.2
3820,653,198,2769,16,1.2
5321,711,630,3712,9,1.8
7742,332,647,6133,14,4.1
9387,187,467,8028,13,2.6
9283,980,90,3863,15,4.8
5464,591,421,13222,15,3.0
8984,116,153,11713,13,1.5
5544,226,284,5349,13,1.6
6503,826,608,8190,8,4.3
8164,386,562,4205,16,4.0
7306,358,670,1886,9,6.0
5024,528,307,2358,9,3.3
9153,401,237,4886,16,4.9
5208,557,248,10169,14,1.4
8711,704,561,1102,12,2.0
9155,4,370,3283,17,5.7
6221,135,551,2886,13,5.1
658,66,571,4084,8,5.9
2549,302,415,10545,11,2.8
6925,150,172,13339,11,2.1
639,613,176,291,9,3.7
9386,565,80,2435,9,4.1
1377,764,568,9628,12,4.2
4269,27,242,6421,7,2.2
2740,867,65,10633,15,1.3
7515,294,541,12071,17,4.4
1759,176,680,7848,12,1.6
8766,586,611,1221,9,5.0
5378,462,105,5086,9,1.2
